湖南台,#genre#
湖南爱晚,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPTVkZGFmZmIwN2E5NGQ5MDc4NWUyMDNlYzE3YjBhMjExJnVpZD0mdXVpZD1lZmQ1ZjBlOTU3MTRiOTM0MWI0MTdiZmFmZDZmYmYyNi02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzQwMjYzMjkw/HNGGMPP360.m3u8
湖南都市,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPTdkYjA1MjVkZTFhNGYxNDY2YjgwMTk3ZThkMWJiMWZhJnVpZD0mdXVpZD00YjRkMWUyMDc2ZDk3Y2VmOWNlYjYxMmNiZmViOWI4Yi02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzQwMjQxMzI4/HNDSMPP360.m3u8
湖南娱乐频道,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPTc1YjI2MTg4ZmY1N2Y3Yzc2NThjNTU1ODY0NGU3ZTQ5JnVpZD0mdXVpZD1jNGY3NjhmZTJkY2FhNzExOTY4ZDgwZWU2MDUyZjI5Yy02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzQwMjUwNzIy/HNYLMPP360.m3u8
湖南经视,http://phonehw.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9aHdfcGhvbmUmcz1jYmUxNjlmNjVjNjc5N2E5NDRlYjRlMWJhYjg0NGY5MiZ1aWQ9JnV1aWQ9Y2Q2MzIxNzcyNmEyOWNhMjNjY2ZmNTI4ZTgyYzBhMWItNjcyN2UyNjQmdj0yJmFzPTAmZXM9MTc0MDI2NzkzMg,,/HNJSMPP360.m3u8
金鹰纪实频道,https://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPTRmYmQzZDVhMzI5ODdjOGU3NzNmNWM2YWE2MWRkZTlkJnVpZD0mdXVpZD0xMDQzZGRhOGM3MjljOGQxMzBjZWJlODdlMWIxNzcyYS02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzQwMjY4ODE5/JYJSMPP360.m3u8
金鹰卡通,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPWEzZDA1YTA5M2ViZTYyMjJlZmI1MmNmYTcyOTQwNGMzJnVpZD0mdXVpZD01ZDdjNjAxMWIwYjc3Mjc2ZGEyZmMzNTZjZjkzY2M5Ny02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzQwMjQzNzky/JYKTMPP360.m3u8
湖南国际频道,http://phonetx.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9dHhfcGhvbmVfbGl2ZSZzPWQwZTNkYzM2OTI1MmU4MzMxYWY2MGYzOTMxMDZhN2JhJnVpZD0mdXVpZD1lMzFjMjU2MTBkYjZjY2M0YmQ0MTlmMDIyZTQwYTdkMC02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzQwMjY0MzQ2/HNGJMPP360.m3u8
湖南电视剧,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPTM5YTg2MjBlYTNiN2QyMmI5NDJhMGNlYTkzNmI2MDk4JnVpZD0mdXVpZD0wMTI5YmVmODMzYTRkOWI4YWNmNjA0YzE4ZGUzODk2MS02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzQwMjU1ODY0/HNDSJMPP360.m3u8
长沙新闻频道,http://phoneqq.qing.mgtv.com/nn_live/nn_x64/dWlwPTEwMy4zOS4yMjYuMTAwJnFpZD0mY2RuZXhfaWQ9cXFfcGhvbmVfbGl2ZSZzPTdhYzM2MjgyMWIwMWZhY2ZjOTdlMjNjMTM1MDdjZDIxJnVpZD0mdXVpZD1kZTJmOGE0MGFhZTkxZDVkNzU4OTA0MjRjMTQxOWJjYS02NzI3ZTI2NCZ2PTImYXM9MCZlcz0xNzQwMjUyNzAx/CSXWMPP360.m3u8
湖南卫视,http://120.196.232.43:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226698/1.m3u8

港澳台,#genre#
澳门卫视,http://61.244.22.4/ch1/ch1.live/playlist.m3u8
Pet_Club_TV,https://cdn-apse1-prod.tsv2.amagi.tv/linear/amg01076-lightningintern-petclub-samsungnz/playlist.m3u8
Bloomberg_TV_Asia,http://210.210.155.37/dr9445/h/h03/index.m3u8
KIX,http://210.210.155.37/dr9445/h/h07/index.m3u8
HKS,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
Celestial_Movies,http://210.210.155.37/dr9445/h/h14/index.m3u8
tvN_Movies_Asia,http://210.210.155.37/dr9445/h/h21/index.m3u8
TVB_News,http://r.jdshipin.com/CkuBd
Good,https://live.streamingfast.net/osmflivech1.m3u8
Good_2,https://live.streamingfast.net/osmflivech2.m3u8
Beautiful_Life_TV,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
